Investor,Country,Count,Percentage
Accel,Other,18,28
Accel,India,9,14
Accel,United States,37,58
Andreessen Horowitz,Other,6,11
Andreessen Horowitz,United States,49,89
General Catalyst,Other,6,15
General Catalyst,China,1,2
General Catalyst,India,1,2
General Catalyst,United States,34,81
Index Ventures,Other,14,42
Index Ventures,United States,19,58
Insight Partners,Other,21,36
Insight Partners,India,1,1
Insight Partners,United States,37,63
Lightspeed Venture Partners,China,5,12
Lightspeed Venture Partners,India,3,7
Lightspeed Venture Partners,United States,33,81
Sequoia Capital,Other,9,17
Sequoia Capital,China,1,2
Sequoia Capital,India,1,2
Sequoia Capital,United States,42,79
Sequoia Capital China,Other,9,18
Sequoia Capital China,China,39,80
Sequoia Capital China,United States,1,2
SoftBank Group,Other,13,29
SoftBank Group,China,3,6
SoftBank Group,India,8,18
SoftBank Group,United States,21,47
Tiger Global Management,Other,10,17
Tiger Global Management,China,3,5
Tiger Global Management,India,12,20
Tiger Global Management,United States,34,58
